Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
"ERNEST M. COULTER POST NUMBER 69, AMERICAN LEGION, DEPARTMENT OF ILLINOIS",120903028,Robinson,5,1188503.81,1086326.67,102177.14,368497,266319.84,102177.16,30653.7,25544.76,5108.94
Ervon Incorporated,120700780,Cahokia,5,4208000.56,3858861.68,349138.88,1245473,896334.21,349138.79,104742.27,87285.24,17457.03
"ESKM Garcia, Inc.",170702028,New Athens,4,438793.69,397724.09,41069.6,151649,110579.4,41069.6,12321.18,10267.65,2053.53
ESL Corporation,130702360,Robinson,4,814776.81,743067.82,71708.99,252975,181265.84,71709.16,21512.87,17927.42,3585.45
"ESMA Restaurant, Inc.",130703015,Boone County,3,431854.89,392479.66,39375.23,164354,124978.77,39375.23,11812.75,9843.98,1968.77
Esparza's Restaurant LLC,180701085,Blue Island,5,6184.93,5080.54,1104.39,2652,1547.61,1104.39,331.36,276.13,55.23
"Esquire Lounge, Inc.",120705982,Champaign,4,3016588.78,2799523.14,217065.64,1000826,783760.36,217065.64,65120.19,54266.83,10853.36
"ESSOF, INC.",120706476,Rockford,5,2287128.23,2119175.24,167952.99,745439,577486.01,167952.99,50386.04,41988.38,8397.66
"EURO LANES, INC.",120711792,Dolton,5,3406417.56,3139816.6,266600.96,1274563,1007962.04,266600.96,79980.91,66650.8,13330.11
"European American Banquet Hall, Inc.",170700761,Cicero,5,1107571.91,1019455.59,88116.32,374872,286755.68,88116.32,26435.44,22029.55,4405.89
"EVANDY, LLC",130705481,Naples,3,523654.28,478329.6,45324.68,169238,123913.22,45324.78,13597.91,11331.61,2266.3
"EVANS RECREATION, LLC",140704357,Springfield,5,2407876.98,2247024.67,160852.31,753298,592375.64,160922.36,48277.04,40230.88,8046.16
Evansville Post Number 1172 of the American Legion,120908097,Evansville,4,865112.97,795073.73,70039.24,249683,179643.76,70039.24,21012.15,17510.16,3501.99
"Evergreen Marketing, Inc.",150703389,Dixon,5,159517.07,145658.72,13858.35,55770,41911.65,13858.35,4157.61,3464.68,692.93
"Evergreen Marketing, Inc.",120705270,Dixon,3,1087502.02,985926.46,101575.56,347983,246402.41,101580.59,30474.78,25395.68,5079.1
"Evergreen Park Post No. 854, The American Legion",120910861,Evergreen Park,5,7544363.84,6961259.26,583104.58,2235904,1652799.42,583104.58,174931.93,145776.64,29155.29
"EVERLAST OIL, INC.",121001213,Downs,5,3110512.07,2876442.54,234069.53,863748,629678.47,234069.53,70221.48,58517.92,11703.56
"Ex-Square,Inc.",120709783,Kankakee,4,1986742.08,1828288.59,158453.49,692313,533859.48,158453.52,47536.5,39613.76,7922.74
Expresslane Inc.,150701293,Coal Valley,5,851087.07,782297.8,68789.27,298141,229351.66,68789.34,20637.52,17197.96,3439.56
"Expresslane, Inc.",140703201,Oglesby,5,1264809.02,1171690.03,93118.99,400262,307142.83,93119.17,27936.32,23280.29,4656.03
"Expresslane, Inc.",140704173,Princeton,5,2533955.3,2345293.78,188661.52,746563,557901.53,188661.47,56598.78,47165.62,9433.16
"Expresslane, Inc.",170704156,Cambridge,2,340226.74,312425.29,27801.45,74616,46774.1,27841.9,8352.67,6960.55,1392.12
"Expresslane, Inc.",121006729,Winnebago County,5,8710393.25,8067516.9,642876.35,2460376,1817517.16,642858.84,192858.16,160715.15,32143.01
"Expresslane, Inc.",140703200,Cordova,5,2421167.12,2244709.57,176457.55,726937,550479.49,176457.51,52937.88,44114.95,8822.93
"Expresslane, Inc.",140702502,La Salle,5,2452377.05,2281031.7,171345.35,763838,592492.5,171345.5,51404.34,42836.97,8567.37
"Expresslane, Inc.",140701514,Seneca,5,2383397.69,2225473.22,157924.47,703564,545639.53,157924.47,47378.09,39481.76,7896.33
"Expresslane, Inc.",121006431,Ottawa,5,3924097,3588978.5,335118.5,1198198,863035.5,335162.5,100549.03,83790.86,16758.17
"Expresslane, Inc.",121006670,Stockton,5,2863510.74,2612013.59,251497.15,907273,655775.85,251497.15,75449.64,62874.74,12574.9
"Expresslane, Inc.",121006743,Hillsdale,5,5200163.55,4748196.02,451967.53,1408134,956160.97,451973.03,135592.39,112993.69,22598.7
"Expresslane, Inc.",121006431,La Salle County,5,1789321.18,1630224.69,159096.49,550688,391591.51,159096.49,47729.1,39774.27,7954.83
"Expresslane, Inc.",131002303,Annawan,5,6450507.75,5941276.16,509231.59,1988864,1479900.59,508963.41,152689.84,127241.57,25448.27
"Expresslane, Inc.",131002308,Dixon,5,7523706.58,6917656.5,606050.08,2268554,1662422.92,606131.08,181839.7,151533.11,30306.59
"Expresslane, Inc.",140702501,Silvis,5,6395751.75,5935638.61,460113.14,1866130,1406017.02,460112.98,138034.59,115028.86,23005.73
"Expresslane, Inc.",140702503,North Utica,5,1849936.28,1700975.64,148960.64,620326,471365.11,148960.89,44688.93,37240.81,7448.12
"Expresslane, Inc.",141001578,Shabbona,4,2236314.14,2077608.45,158705.69,589527,430821.35,158705.65,47612.22,39676.85,7935.37
"Expresslane, Inc.",131002060,Peru,5,9900824.86,9012485.47,888339.39,3129113,2240653.05,888459.95,266538.69,222115.59,44423.1
"Expresslane, Inc.",141004061,Sublette,3,1474891.95,1358215.99,116675.96,442994,326318.04,116675.96,35003.08,29169.27,5833.81
"Expresslane, Inc.",170702246,Davis,3,1016061.04,935166.02,80895.02,309184,228288.98,80895.02,24268.81,20224.03,4044.78
"EZ Shop on Harlem, Inc.",140703454,Summit,5,3786879.66,3482000.59,304879.07,1114596,809706.1,304889.9,91467.51,76222.96,15244.55
"F & K Liquors, Inc.",180700643,Countryside,5,504874.29,468400.9,36473.39,144597,108123.61,36473.39,10942.15,9118.45,1823.7
"F & P Hospitality, LLC",120710603,Elk Grove Village,5,3553365.55,3246757.07,306608.48,1018160,711551.52,306608.48,91983.3,76652.76,15330.54
"F.A. Tailgators, Inc.",120706069,Oak Lawn,5,7248751.04,6687705.09,561045.95,2166517,1605470.68,561046.32,168314.33,140261.97,28052.36
"F.A.S.T., Inc.",180701452,Peoria,5,86241.41,77681.35,8560.06,26207,17646.89,8560.11,2568.04,2140.03,428.01
"F.A.S.T., Inc.",120700157,Peoria,4,1206234.43,1112109.9,94124.53,366998,272873.27,94124.73,28237.68,23531.41,4706.27
F.D. NOE INC.,120700543,Limestone,5,1692484.61,1566647.04,125837.57,490577,364738.09,125838.91,37752.46,31460.41,6292.05
"F.G.3, LLC",160702498,Shelbyville,5,7273829.34,6611513.61,662315.73,2250950,1588634.27,662315.73,198695.45,165579.55,33115.9
"F.V. KICKERS, NFP",140706265,Oswego,5,3672190.34,3392379.72,279810.62,1320294,1040483.38,279810.62,83943.83,69953.23,13990.6
Fairfield Elks Club,140802753,Fairfield,3,966293.82,889950.3,76343.52,262319,185975.67,76343.33,22903.45,19086.22,3817.23
"Fairmont Bowl, Inc.",130703037,Collinsville,5,2199672.42,2004829.21,194843.21,673699,478855.74,194843.26,58453.47,48711.24,9742.23
"Fairview Heights, Il Lodge No. 664, Benevolent and Protective Order of Elks",120808029,Fairview Heights,4,674597.33,614829.25,59768.08,174507,114739,59768,17930.72,14942.29,2988.43
"Fairview Inn, Inc.",120702000,Fairview Heights,5,2754303.43,2517834.68,236468.75,852621,616132.21,236488.79,70947.05,59122.55,11824.5
"Fairview Restarante, LLC",150700174,Springfield,3,51662.01,46343.44,5318.57,22517,17198.43,5318.57,1595.66,1329.72,265.94
Fajitas Mexican Restaurant #2 Inc.,150701223,La Salle,3,513814.14,470029.19,43784.95,173206,129421.05,43784.95,13135.98,10946.66,2189.32
Fajitas Mexican Restaurant Inc.,120712542,Countryside,5,3335863.12,3067005.25,268857.87,994819,725961.13,268857.87,80657.85,67214.9,13442.95
Fajitas Mexican Restaurant Of Tinley Park Inc.,140700405,Tinley Park,5,4381188.42,4000787.45,380400.97,1237042,856641.03,380400.97,114121.24,95101.1,19020.14
Familia G. Inc.,160701366,Crystal Lake,3,1472424.52,1346342.31,126082.21,478592,352509.51,126082.49,37825,31520.85,6304.15
Family Beer East Inc.,140702406,East Dubuque,5,2326288.98,2134014.22,192274.76,585124,392849.19,192274.81,57683.47,48069.55,9613.92
"Family House Restaurant, Inc.",130705889,Bradley,5,978870.23,909351.13,69519.1,336750,267213.5,69536.5,20861.65,17384.72,3476.93
"FAMILY SKATE CENTER II, INC.",160704137,Lynwood,5,520784.36,475555.04,45229.32,170006,124776.63,45229.37,13569.26,11307.75,2261.51
"Famous City Bistro, Inc.",120706976,Peoria,5,7294196.65,6692353.87,601842.78,2208161,1606318.22,601842.78,180553.52,150461.28,30092.24
"FANELLA'S PIZZA, INC.",150703245,Lake County,5,3023489.36,2753843.83,269645.53,951896,682250.17,269645.83,80894.42,67412.04,13482.38
"Fantasyland, Inc.",120704003,Peoria County,2,509311.06,467279.07,42031.99,133017,90984.96,42032.04,12609.79,10508.14,2101.65
"Farm Tavern of Taylorville, Inc.",160702248,Taylorville,5,1885472.55,1717098.84,168373.71,609995,441621.24,168373.76,50512.51,42093.79,8418.72
"Farmer's Inn Liquors, Inc.",120704537,Kirkland,3,1275266.9,1167999.43,107267.47,376553,269285.58,107267.42,32180.5,26817.09,5363.41
"FARMINGTON LODGE NO. 1571, LOYAL ORDER OF MOOSE",120802005,Farmington,5,2226480.18,2049313.35,177166.83,694553,517386.17,177166.83,53150.71,44292.28,8858.43
"Fashionique, Inc.",170703512,Willow Springs,5,1527849,1419023.4,108825.6,457384,348558.4,108825.6,32647.81,27206.51,5441.3
"FAST EDDIE'S BON-AIR, INC.",120700205,Alton,5,3644855.26,3358217.43,286637.83,1191699,905061.17,286637.83,85991.7,71659.77,14331.93
"Fast Eddiez Tophat, Inc.",170700615,Rock Falls,5,3997001.72,3662022.96,334978.76,1350778,1015799.43,334978.57,100494.36,83745.33,16749.03
"Fast Eddiez Tophat, Inc.",180701659,Rock Falls,5,31153.92,29616.19,1537.73,11133,9595.27,1537.73,461.31,384.43,76.88
"Fat Fish Pub, I, LLC",160702942,Galesburg,4,754009.37,689133.27,64876.1,216125,151248.66,64876.34,19463.42,16219.53,3243.89
"Fat Jack's, Inc.",120700474,Bloomington,4,1340659.86,1215618.99,125040.87,459867,334804.24,125062.76,37519.24,31266.07,6253.17
"FAT JEM ENTERPRISES, INC.",180700103,Justice,5,633690.36,578738.62,54951.74,191429,136477.22,54951.78,16485.68,13738.08,2747.6
"Fat Jem Enterprises, Inc.",120708474,Summit,5,6227510.12,5716554.6,510955.52,1931064,1420108.73,510955.27,153287.15,127739.33,25547.82
Father & Son Ventures LLC,160701426,Byron,5,4489667.44,4067451.05,422216.39,1575260,1153043.6,422216.4,126665.51,105554.61,21110.9
Father & Son Ventures LLC,140701885,Oregon,5,2980946.36,2711354.77,269591.59,975737,706145.41,269591.59,80878.04,67398.39,13479.65
Father & Son Ventures LLC,140700318,Oregon,5,3474691.25,3145877.73,328813.52,1148151,819337.44,328813.56,98644.55,82203.82,16440.73
Father & Son Ventures LLC,130701821,Davis Junction,5,2238219.72,2041623.64,196596.08,737518,540921.67,196596.33,58979.69,49149.74,9829.95
"Favco, Inc.",120700509,Macoupin County,3,287276.65,265133.24,22143.41,97405,75261.67,22143.33,6643.17,5535.95,1107.22
"Faye Inn, Inc.",120702065,Fayetteville,3,977153.94,903883.59,73270.35,271053,197782.6,73270.4,21981.57,18317.97,3663.6
"Feed Mill Enterprises, Inc.",170703694,Sesser,5,468864.85,431974.98,36889.87,167779,130889.03,36889.97,11067.25,9222.72,1844.53
"Fehrenbacher Enterprises, Inc.",121000739,Olney,5,10305966,9452433.57,853532.43,2833326,1979713.96,853612.04,256084.46,213403.74,42680.72
"Fejza, Inc.",140702450,Ottawa,3,647813.92,594396.84,53417.08,234965,181548.02,53416.98,16025.57,13354.65,2670.92
"FERG'S PUBLIC HOUSE, INC.",170702358,Aledo,3,332131.05,305404.41,26726.64,83443,56716.36,26726.64,8018.25,6681.88,1336.37
Fergaria's Pizza Inc.,140703759,Seneca,3,134796.51,124148.98,10647.53,46148,35500.47,10647.53,3194.41,2662.02,532.39
FERGIE & FOZ INC.,140703999,Summit,5,5815799.53,5381253.62,434545.91,1818200,1383632.7,434567.3,130370.74,108642.29,21728.45
"Fergy's Bar & Grill, Inc.",120709446,Seneca,5,4162490.44,3873032.6,289457.84,1259909,970451.16,289457.84,86837.99,72365.04,14472.95
Fernando's Place LLC,180701572,Kewanee,3,101771.53,95208.7,6562.83,31657,25094.17,6562.83,1968.86,1640.71,328.15
Fibber's Bar & Grill LLC,170700744,Leaf River,4,1199465.81,1104998.15,94467.66,348385,253916.67,94468.33,28341.01,23617.52,4723.49
"Fieldhouse 219, LLC",160701340,Monticello,4,799242.49,738977.99,60264.5,260595,200330.49,60264.51,18079.94,15066.61,3013.33
"Fieldhouse, LLC",130701185,Peoria,5,2350980.59,2151510.18,199470.41,819214,619743.49,199470.51,59841.82,49868.21,9973.61
Fifty K Corp.,130702915,Fox Lake,5,2368637.79,2171691.54,196946.25,766102,569155.75,196946.25,59084.77,49237.33,9847.44
Filicsky Corporation,120701198,Danville,5,7760272.22,7138598.46,621673.76,2472554,1850880.24,621673.76,186502.58,155418.82,31083.76
Filis Station Inc.,140703724,Charleston,1,178875.81,157350.46,21525.35,52774,31248.65,21525.35,6457.67,5381.39,1076.28
"Fill - Up Mart, Inc.",140703455,Alexander County,4,1434350.1,1313795.78,120554.32,459897,339342.63,120554.37,36166.8,30139.03,6027.77
"Fill Up Station, Inc.",120703649,Berwyn,4,2366658.43,2174388.82,192269.61,762483,570213.39,192269.61,57681.41,48067.87,9613.54
"Fill-Up Mart, Inc.",140703899,Union County,5,2373725.55,2179202.6,194522.95,604084,409591.17,194492.83,58348.15,48623.47,9724.68
"FILLUP, INC.",130703560,Romeoville,3,214364.53,192487.9,21876.63,100704,78827.37,21876.63,6563.27,5469.37,1093.9
Final Four Inc.,120712210,Sherman,5,7833116.08,7294238.02,538878.06,2490662,1951783.74,538878.26,161664.22,134720.18,26944.04
"Finally R Place, Inc.",120701984,East Dubuque,5,2230496.55,2049200.99,181295.56,661512,480197.55,181314.45,54395.44,45329.57,9065.87
Fine Mexican Restaurant Chenchos #2 Inc.,170700264,Oak Forest,3,295758.19,269297.46,26460.73,109599,83138.27,26460.73,7938.31,6615.27,1323.04
"Finleysspringfield, LLC",170703121,Springfield,5,1141125.82,1047229.2,93896.62,440016,346119.36,93896.64,28169.43,23474.54,4694.89
"Finnegan's Cottage, Inc.",120710954,Loves Park,5,1665152.07,1546543.53,118608.54,535013,416404.46,118608.54,35583.14,29652.64,5930.5
"Fiorina Enterprises, LLC",120705652,Herrin,5,2955460.16,2737069.22,218390.94,830931,612540.06,218390.94,65517.82,54598.18,10919.64
"FIRE & ICE SMOKEHOUSE & CREAMERY, LLC",150703215,Marengo,5,628641.7,564684.62,63957.08,219073,155115.92,63957.08,19187.83,15989.88,3197.95
Fire Bar Incorporated,160701312,Crystal Lake,3,3193690.01,2930905.3,262784.71,1049543,786741.54,262801.46,78840.87,65700.73,13140.14
"Fire Station Pub, Inc.",130701818,Summit,5,9917813.81,9209926.74,707887.07,2661992,1954104.88,707887.12,212366.54,176972.16,35394.38
"Fireside Land Development, L.L.C.",140702861,Prospect Heights,4,492860.89,447658.08,45202.81,161214,116011.28,45202.72,13561.21,11301.02,2260.19
Fireside LLC,160701643,Olney,3,648057.06,602456.38,45600.68,202746,157145.52,45600.48,13680.29,11400.25,2280.04
"Fireside Tap, Inc.",120709901,Naplate,5,869721.37,789823.19,79898.18,290101,210202.65,79898.35,23969.72,19974.79,3994.93
"First ILR, L,L,C.",140702998,Bloomingdale,3,201018.11,182850.59,18167.52,64420,46144.8,18275.2,5482.75,4568.97,913.78
First Rockford Hospitality Corp.,120709102,Rockford,4,2131926.77,1956065.22,175861.55,659788,483926.4,175861.6,52758.99,43965.84,8793.15
"FISCHER-SOLLIS POST #137 AMERICAN LEGION, INC.",150901660,O'Fallon,4,2208427.26,2020791.56,187635.7,672516,484880.08,187635.92,56291.15,46909.33,9381.82
Fisholee Enterprises Inc.,120701161,Algonquin,5,716854.71,665398.69,51456.02,242664,191207.98,51456.02,15436.82,12864.03,2572.79
"Fitz's Pub - Villa Park, Inc.",120712310,Villa Park,5,9501077.36,8781607.74,719469.62,2777739,2058217.38,719521.62,215857.07,179880.9,35976.17
FITZ'S THIRSTY IRISHMAN INC.,170701264,Glendale Heights,5,2796909.74,2578454.81,218454.93,879383,660927.4,218455.6,65537.32,54614.46,10922.86
"FIVE DOYLES, INC.",170703279,Richmond,5,350481.23,315550.18,34931.05,141687,106755.95,34931.05,10479.48,8732.89,1746.59
Five Step Holdings LLC,150702848,DeKalb,3,120859.93,110641.84,10218.09,35748,25530.04,10217.96,3065.52,2554.61,510.91
FJK ENTERPRISES INC.,150702392,Carroll County,3,81487.43,77863.09,3624.34,25669,22044.66,3624.34,1087.31,906.1,181.21
"Flame Eatery & Wine Bar, LLC",140700553,Carbondale,3,187625.25,169282.87,18342.38,54837,36494.62,18342.38,5502.96,4585.83,917.13
FLAMINGGYPSYS INC.,130705163,Wapella,4,891023.69,822130.62,68893.07,278939,209985.03,68953.97,20686.84,17239.06,3447.78
Flat Branch Saloon LLC,140701865,Clinton County,3,238570.95,223427.35,15143.6,55984,40840.4,15143.6,4543.24,3786.03,757.21
"FLEMING SIX, INC.",160703806,Forest Park,5,987701.24,901843.91,85857.33,395804,309946.25,85857.75,25758.04,21465.04,4293
Flemish American Club,140703709,Kewanee,3,474410.6,437087.78,37322.82,139536,102213.04,37322.96,11197.08,9330.91,1866.17
"Fletcher's Belleville, Inc.",160701840,Belleville,5,1626891.16,1492440.71,134450.45,546981,412530.49,134450.51,40335.79,33613.2,6722.59
"Flo's on Pulaski, Inc.",120707523,Peru,5,3549902.08,3309238.59,240663.49,1108498,867834.51,240663.49,72199.48,60166.26,12033.22
FLO-IN CORP.,140702926,McHenry,4,839763.47,760185.36,79578.11,257997,178418.89,79578.11,23874.18,19895.16,3979.02
Flora Elks Lodge #1659 Of The Benevolent & Protective Order of Elks of the United States of America Inc.,130804287,Flora,5,2987073.79,2752177.93,234895.86,820565,585669.14,234895.86,70469.27,58724.41,11744.86
Flora Ruth Carter,150702767,Jackson County,3,432389.01,407526.74,24862.27,102852,77989.73,24862.27,7458.85,6215.71,1243.14
Floyd J. Tilton Post 3878 Veterans of Foreign Wars of the United States,120906735,Rochelle,4,2281833.57,2116159.19,165674.38,786151,620476.67,165674.33,49702.65,41418.89,8283.76
"FLYIN' LION, LLC",140703641,Collinsville,5,2506631.86,2328889.86,177742,686825,509082.87,177742.13,53323.34,44436.13,8887.21
"FMHPB, Inc.",160703627,Moline,5,991349.91,904207.55,87142.36,344083,256940.26,87142.74,26143.27,21786.06,4357.21
FMRM4 Incorporated,150703303,Mokena,5,5167344.99,4706088.66,461256.33,1611263,1150006.62,461256.38,138377.5,115314.6,23062.9
FMRM5 Incorporated,160703529,Midlothian,5,894639.99,819299.94,75340.05,306541,231201.1,75339.9,22602.5,18835.43,3767.07
FMRPH6 INCORPORATED,170701788,Palos Hills,5,1210594.11,1124106.59,86487.52,427041,340553.44,86487.56,25946.97,21622.48,4324.49
Food Fight Enterprises LLC,150701072,Paxton,5,208641.96,189993.22,18648.74,77816,59167.11,18648.89,5594.84,4662.35,932.49
"Food Guy Two, Inc.",140701738,Jerseyville,5,1027403.74,941019.85,86383.89,308862,222478.11,86383.89,25915.96,21596.62,4319.34
FORE GOLF LLC,150700986,Prairie Grove,4,339449.83,310353.87,29095.96,131265,102169.04,29095.96,8729.33,7274.47,1454.86
FORE GOLF LLC,160701512,Bull Valley,4,246361.24,222470.16,23891.08,97016,73124.88,23891.12,7167.64,5973.08,1194.56
"Fore, LLC",120711782,Whiteside County,3,259759.56,245114.82,14644.74,91463,76818.26,14644.74,4393.48,3661.22,732.26
"Fore-Way Challenge Course, Inc.",160700658,Effingham County,3,490893.62,452584.42,38309.2,210850,172540.82,38309.18,11492.88,9577.41,1915.47
"Foreplay Bar & Grill, Inc.",120702198,Manteno,5,2085797.6,1919121.29,166676.31,680794,514117.69,166676.31,50003.76,41669.83,8333.93
FOREST PARK WINE BAR LLC,170700229,Forest Park,1,28035.39,25118.61,2916.78,6480,3563.22,2916.78,875.05,729.2,145.85
"Fork Restaurant Group Alton, LLC",160702781,Alton,5,5387952.94,4965849.81,422103.13,1580635,1158319.62,422315.38,126695.15,105579.32,21115.83
"Fork Restaurant Group Belleville, LLC",160700647,St. Clair County,5,11263436.92,10333663.89,929773.03,3443961,2514187.97,929773.03,278932.68,232443.94,46488.74
"Fork Restaurant Group Fairview Heights, LLC",160700646,Fairview Heights,5,4975055.33,4599618.27,375437.06,1603199,1227761.64,375437.36,112631.77,93859.86,18771.91
"Fork Restaurant Group Kewanee, LLC",170701820,Kewanee,5,5479693.69,5067203.87,412489.82,1688955,1276460.99,412494.01,123748.79,103123.99,20624.8
Fork Restaurant Group Mt Vernon 2 LLC,170704199,Mount Vernon,5,1995782.73,1853749.78,142032.95,585549,443489.45,142059.55,42618.12,35515.1,7103.02
"Fork Restaurant Group Mt Vernon, LLC",170703976,Mount Vernon,5,2162529.68,1979534.31,182995.37,649768,466660.63,183107.37,54932.68,45777.24,9155.44
"Fork Restaurant Group Ottawa, LLC",170702416,Ottawa,5,3551809.07,3258971.74,292837.33,1118297,825447.67,292849.33,87855.38,73212.82,14642.56
"Fork Restaurant Group Silvis, LLC",170701786,Silvis,5,4222876.35,3860897.46,361978.89,1182900,820891.51,362008.49,108603.42,90502.86,18100.56
"Fork Restaurant Group Swansea, LLC",160700229,Swansea,5,10165134.63,9348213.15,816921.48,2948294,2131372.22,816921.78,245077.08,204230.91,40846.17
"Fork Restaurant Group Waterloo, LLC",160700227,Waterloo,5,7840778.31,7265063.66,575714.65,2062548,1486833.35,575714.65,172714.99,143929.18,28785.81
"Fork Restaurant Group Wood River, LLC",160701338,Wood River,5,8645149.71,7993862.33,651287.38,2299117,1647829.71,651287.29,195386.89,162822.43,32564.46
"Forman Enterprises, Inc.",170703477,Augusta,3,553189.44,505401.5,47787.94,177461,129673.06,47787.94,14336.62,11947.2,2389.42
Forsee Vineyards Inc.,160703766,Montgomery County,3,97946.89,88154.93,9791.96,31395,21603.04,9791.96,2937.67,2448.08,489.59
Forsees Inc.,120708871,Ottawa,5,2462104.88,2299846.12,162258.76,817207,654948.11,162258.89,48678.12,40565.09,8113.03
"Fortner's Pub, LLC",140703874,Cornell,3,94894.15,88558.56,6335.59,28836,22500.53,6335.47,1900.65,1583.88,316.77
"FOS, Inc.",120700492,Loves Park,5,4737944.22,4370308.65,367635.57,1558443,1190806.56,367636.44,110291.44,91909.57,18381.87
Foss Park District,120708003,North Chicago,5,2182446.09,2023911.45,158534.64,686941,528406.31,158534.69,47561.01,39634.19,7926.82
Fote Backy,120703031,Champaign,4,1987437.74,1823042.63,164395.11,703932,539536.92,164395.08,49319.06,41099.21,8219.85
"Four Coynes, Inc.",120701407,Round Lake,5,3334586.78,3058608.99,275977.79,1088356,812378.21,275977.79,82793.89,68994.93,13798.96
FOUR QUEENS WINE LOUNGE LLC,150702071,Illiopolis,5,1902222.47,1750366.64,151855.83,574546,422690.09,151855.91,45557.22,37964.36,7592.86
"Four Siblings, LLC",120700641,Alton,5,2321171.42,2150859.34,170312.08,670565,500252.97,170312.03,51094.15,42578.48,8515.67
"Four Sons Enterprises, Inc.",120705948,Ottawa,5,2843108.93,2581258.6,261850.33,942176,680325.42,261850.58,78555.76,65463.15,13092.61
FOUR STAR BAR & GRILL INC.,120704193,Monmouth,3,1503208.71,1383233.95,119974.76,396402,276427.24,119974.76,35992.65,29993.89,5998.76
"Four Star Family Restaurant, Inc.",160701487,Mount Zion,5,2498140.78,2309460.48,188680.3,912674,723993.7,188680.3,56604.7,47170.61,9434.09
"Four Star Restaurant, LLC",170701974,Rushville,5,196202.56,183061.88,13140.68,58428,45287.32,13140.68,3942.39,3285.32,657.07
"Fourth Street Bar & Grill, Inc.",140702915,Waterloo,2,989198.41,927849.07,61349.34,272376,211026.8,61349.2,18404.86,15337.4,3067.46
"Fouzia, Inc.",130702613,Will County,3,1750402.32,1605176.77,145225.55,521326,376100.45,145225.55,43568.11,36306.75,7261.36
"Fox - Cafe, LLC",170703122,Burbank,5,1899296.5,1754731.24,144565.26,654061,509494.02,144566.98,43370.31,36141.93,7228.38
"Fox Creek Country Club, Inc.",120701229,Madison County,3,778932.46,709307.06,69625.4,235626,166000.6,69625.4,20887.89,17406.59,3481.3
"Fox Lake Country Club, Inc.",120700416,Fox Lake,5,1710874.77,1589315.5,121559.27,456911,335310.13,121600.87,36480.79,30400.68,6080.11
"Fox Prairie Golf Course, Inc.",170700062,Shelby County,3,26312.54,22343.59,3968.95,11880,7911.05,3968.95,1190.72,992.27,198.45
"Fox Valley Winery, Inc.",180700724,Oswego,5,9.93,6.95,2.98,37,34.02,2.98,0.9,0.75,0.15
"FOX'S ON WOLF, INC.",160701986,Mokena,4,1777198.23,1640615.65,136582.58,589237,452654.07,136582.93,40975.53,34146.29,6829.24
"Foxhole Pub N Grub, Inc.",150702886,Lincoln,5,1455846.41,1332673.95,123172.46,483602,360429.57,123172.43,36952.32,30793.63,6158.69
"FP Barrelhead, LTD.",130705337,Jerome,5,2980480.69,2751838.01,228642.68,1033205,804562.07,228642.93,68593.69,57161.46,11432.23
"FP Barrelhead, LTD.",130705337,Springfield,0,-206582.11,-194191.8,-12390.31,-68569,-56178.69,-12390.31,-3717.15,-3097.63,-619.52
Francis Jackson,170703544,Clinton,5,1337727.02,1227845.65,109881.37,416348,306466.63,109881.37,32964.8,27470.69,5494.11
Frank Eugene Colston,120701340,Beckemeyer,5,4958620.9,4549619.74,409001.16,1554176,1145175.25,409000.75,122700.69,102250.58,20450.11
FRANK GF INC.,130700397,Villa Park,5,6913262.87,6320425,592837.87,2034177,1441339.36,592837.64,177852.06,148210.09,29641.97
Frank Townsend,120710937,Hanover,5,1748231.26,1601268.9,146962.36,450597,303634.64,146962.36,44089.19,36741,7348.19
"Frank's Restaurant, Inc.",140703529,Madison County,4,858183.09,788420.68,69762.41,265018,195255.59,69762.41,20928.93,17440.77,3488.16
"Frankden, Inc.",160703739,Forest Park,4,1259188.7,1183703.66,75485.04,388126,312636.33,75489.67,22647.12,18872.6,3774.52
"Frankie's Brewhaus, Inc.",160700434,Springfield,5,864166.03,789864.1,74301.93,272410,198108.07,74301.93,22291.22,18576.05,3715.17
Franklin Park Post No. 974 The American Legion Department of Illinois,120900404,Franklin Park,5,856388.2,791145.72,65242.48,307679,242436.52,65242.48,19573.33,16311.13,3262.2
"FRANKS PLACE, INC.",130703310,Burbank,5,3765678.19,3450353.72,315324.47,1139188,823863.68,315324.32,94597.83,78831.56,15766.27
"Franny's, Incorporated",120706340,Springfield,5,6307597.09,5849418.59,458178.5,2326904,1868725.5,458178.5,137454.27,114545.25,22909.02
"Franpo, Inc.",120700471,Dixmoor,5,2858630.89,2611481.08,247149.81,909943,662793.19,247149.81,74145.5,61787.95,12357.55
"Franzrigo, Inc.",120702202,Galena,4,1419543.72,1304021.38,115522.34,461618,346095.44,115522.56,34657.3,28881.1,5776.2
"FRATERNAL ORDER OF EAGLES , AERIE 2494",130804830,Flora,5,4214226.42,3924787.78,289438.64,1208363,918924.17,289438.83,86832.36,72360.32,14472.04
Fraternal Order of Eagles - Aerie 2522,130803248,Pinckneyville,5,2612213.78,2427482.36,184731.42,707470,522738.63,184731.37,55419.84,46183.2,9236.64
FRATERNAL ORDER OF EAGLES 3698 AND ITS AUXILIARY,130803731,Macomb,3,99509.33,90329.64,9179.69,36961,27781.31,9179.69,2754.2,2295.18,459.02
